State,Crop,Season,Soil_Type,Area,Production,Rainfall,Temperature,Humidity,Nitrogen,Phosphorus,Potassium
Telangana,Sorghum,Summer,Red,2627.31,23295.0,234.68,39.47,37.28,71.72,77.86,70.59
Telangana,Cardamom,Summer,Sandy,4647.59,77995.25,300.54,27.15,48.2,120.03,23.09,32.66
Odisha,Chili,Kharif,Laterite,1219.62,13684.13,101.68,28.32,48.76,95.56,20.81,43.68
Nagaland,Pulses,Kharif,Loamy,2749.12,32901.26,140.78,30.54,35.71,38.05,10.19,18.17
Manipur,Mango,Rabi,Loamy,3973.5,33770.34,98.01,35.52,78.49,73.11,75.31,79.37
Andhra Pradesh,Cauliflower,Whole Year,Sandy,249.99,3056.7,401.68,34.84,78.78,123.94,67.76,23.05
Odisha,Tea,Rabi,Sandy,1800.56,34134.8,444.74,21.77,83.08,77.09,36.39,42.39
Manipur,Rubber,Kharif,Alluvial,4498.88,60974.69,222.75,26.31,88.92,101.15,18.18,75.79
Gujarat,Millet,Rabi,Laterite,3972.19,70623.32,329.03,26.0,88.1,122.52,20.62,31.82
Bihar,Ginger,Rabi,Black,2474.97,29191.39,389.59,13.09,64.87,69.25,41.99,52.28
Manipur,Peas,Whole Year,Clay,2436.92,34167.68,234.03,33.16,30.79,97.8,49.59,60.13
Jharkhand,Cauliflower,Rabi,Sandy,2010.25,22189.92,257.9,38.42,39.97,96.21,45.41,52.8
Manipur,Cauliflower,Whole Year,Red,4661.27,56833.34,304.31,30.9,89.96,111.94,20.68,50.34
Maharashtra,Cauliflower,Kharif,Sandy,4554.32,60299.65,105.26,17.08,40.76,44.22,68.62,33.25
Sikkim,Cauliflower,Summer,Clay,1902.74,22655.9,384.91,16.17,81.21,98.48,18.0,39.02
Uttarakhand,Potato,Whole Year,Red,173.9,2036.92,460.74,17.45,67.55,41.52,12.37,31.8
Karnataka,Ginger,Rabi,Laterite,1071.28,10341.53,281.83,39.27,59.83,92.45,70.24,47.45
Madhya Pradesh,Lentil,Summer,Red,1057.43,14706.41,454.12,16.15,42.39,24.75,43.04,49.54
Nagaland,Wheat,Rabi,Red,2271.91,30597.01,285.98,23.22,56.05,92.75,20.87,22.73
Maharashtra,Coconut,Whole Year,Alluvial,136.68,1373.02,120.27,31.48,72.83,23.52,25.54,26.18
Uttarakhand,Millet,Rabi,Alluvial,4001.58,49916.53,130.35,29.58,45.48,32.93,27.02,60.56
Bihar,Castor,Rabi,Clay,2037.9,21110.92,195.8,12.61,71.16,115.67,69.37,18.59
Odisha,Linseed,Kharif,Laterite,3522.69,58780.62,459.78,28.74,51.83,127.26,35.41,12.4
Himachal Pradesh,Coconut,Kharif,Laterite,1105.36,19337.81,488.55,33.39,37.43,93.55,78.98,42.97
Mizoram,Carrot,Summer,Alluvial,1350.7,17385.7,293.74,29.0,46.76,38.12,68.45,78.91
Tamil Nadu,Castor,Summer,Sandy,4572.35,58424.81,102.99,27.3,47.81,92.04,55.6,68.08
Tamil Nadu,Cucumber,Rabi,Clay,1325.78,14951.84,169.92,31.97,46.3,102.3,44.6,50.13
Uttar Pradesh,Spinach,Whole Year,Black,839.75,12125.97,382.12,12.48,69.2,51.9,37.25,30.21
Bihar,Beetroot,Summer,Loamy,3055.92,49107.63,477.19,21.9,92.02,37.55,43.86,28.89
Punjab,Pumpkin,Kharif,Sandy,4776.63,59860.18,119.6,28.7,60.83,64.77,34.61,38.9
Karnataka,Cauliflower,Rabi,Alluvial,1239.55,15750.82,418.6,33.98,75.16,55.38,51.32,35.27
Meghalaya,Mango,Summer,Loamy,4034.74,58705.88,346.45,30.77,85.2,52.46,44.26,25.48
Uttar Pradesh,Brinjal,Kharif,Black,206.74,2230.32,367.51,37.76,41.74,93.83,74.08,12.38
Meghalaya,Millet,Rabi,Red,4721.89,62263.61,263.4,35.86,84.9,61.48,68.02,12.59
Telangana,Sesame,Whole Year,Laterite,2410.5,51642.89,448.25,25.91,58.67,72.58,50.07,66.28
Madhya Pradesh,Onion,Kharif,Clay,3083.16,28806.09,154.83,10.73,86.56,22.77,71.23,47.03
Assam,Cabbage,Rabi,Laterite,272.89,2019.23,89.84,11.13,61.19,95.5,29.02,37.88
Punjab,Cotton,Kharif,Sandy,26.7,332.97,260.29,18.91,85.43,113.02,51.24,29.41
Rajasthan,Spinach,Summer,Alluvial,556.24,6749.49,226.23,13.73,92.17,123.74,28.13,51.2
Arunachal Pradesh,Apple,Summer,Laterite,334.28,3917.18,230.71,35.13,44.99,127.98,18.42,13.29
Tripura,Grapes,Kharif,Alluvial,4786.78,58250.99,421.79,34.02,70.94,48.12,46.28,51.81
Assam,Carrot,Rabi,Sandy,4981.72,92830.91,453.85,23.9,70.49,117.22,12.44,72.64
Chhattisgarh,Coconut,Summer,Alluvial,1961.94,28448.74,172.83,24.3,32.88,130.79,12.48,33.03
Arunachal Pradesh,Mango,Whole Year,Loamy,35.36,437.61,363.07,11.46,64.62,145.08,17.66,72.61
Madhya Pradesh,Potato,Rabi,Clay,2408.13,31817.66,316.58,34.74,52.61,108.14,49.6,28.69
Haryana,Guava,Kharif,Red,4337.8,60493.29,368.76,35.11,75.34,108.42,53.3,62.69
Gujarat,Cotton,Summer,Clay,4360.5,42144.21,63.16,34.77,38.38,63.57,62.05,21.25
Kerala,Cabbage,Rabi,Clay,3088.47,56802.63,491.53,28.95,46.89,102.42,47.8,64.59
Goa,Tomato,Rabi,Loamy,2710.92,45226.31,483.35,20.26,71.12,141.16,17.18,75.61
Uttarakhand,Potato,Whole Year,Sandy,3545.77,38765.26,263.11,11.74,34.86,130.81,79.31,57.32
Kerala,Linseed,Summer,Red,2976.04,33165.97,222.63,11.97,83.4,68.34,67.31,27.68
Assam,Sunflower,Kharif,Loamy,2639.85,41797.84,421.66,18.95,84.6,120.47,26.1,19.19
Assam,Potato,Rabi,Laterite,166.2,1844.29,379.07,37.29,85.73,145.39,63.21,40.96
Goa,Coffee,Rabi,Clay,1009.79,14413.5,440.66,31.45,66.58,81.3,48.03,21.15
Tripura,Potato,Kharif,Clay,776.75,13908.04,254.16,25.91,31.16,123.58,30.59,73.83
Punjab,Linseed,Kharif,Sandy,1135.45,16201.55,122.37,29.55,51.19,96.73,40.33,78.9
Mizoram,Millet,Kharif,Black,3405.48,34431.18,228.0,39.24,76.92,105.41,62.99,76.69
Odisha,Mango,Kharif,Alluvial,522.93,6028.22,306.91,10.55,61.35,47.35,34.22,64.31
Nagaland,Rubber,Rabi,Alluvial,448.45,4932.32,207.78,11.0,35.11,71.6,19.29,49.73
Arunachal Pradesh,Cucumber,Summer,Laterite,531.79,8244.48,336.39,31.19,32.05,141.71,13.64,47.89
Nagaland,Mustard,Whole Year,Black,3130.27,51773.96,402.54,28.37,61.49,105.91,48.71,51.82
Himachal Pradesh,Cucumber,Rabi,Red,3626.88,62378.6,316.98,29.51,61.15,100.05,33.03,42.91
Madhya Pradesh,Millet,Kharif,Loamy,2173.94,16782.22,69.65,14.85,31.36,104.92,33.26,47.97
Odisha,Sesame,Kharif,Clay,2097.81,21016.75,141.61,35.21,41.32,144.9,39.11,69.24
Chhattisgarh,Sugarcane,Whole Year,Laterite,3840.94,68763.18,277.18,26.3,63.41,96.45,12.06,37.69
Bihar,Soybean,Summer,Black,4960.75,76576.97,177.73,20.77,54.95,80.56,68.52,26.51
Uttar Pradesh,Millet,Whole Year,Sandy,906.62,7671.43,156.89,39.14,41.76,131.07,44.46,27.31
Telangana,Cabbage,Kharif,Laterite,2968.82,41980.27,123.59,21.73,93.01,53.56,55.97,32.76
Haryana,Mustard,Whole Year,Laterite,4849.41,59438.26,254.21,17.08,34.78,42.07,46.38,33.59
Punjab,Millet,Summer,Laterite,3536.82,41520.46,125.17,15.03,32.38,115.73,56.47,43.22
Mizoram,Watermelon,Whole Year,Laterite,4322.44,70292.98,301.16,26.2,32.22,148.27,18.61,26.18
Assam,Soybean,Kharif,Clay,451.89,5293.81,96.49,27.54,74.73,71.66,43.59,58.02
Arunachal Pradesh,Apple,Rabi,Clay,4340.91,75074.41,254.63,25.47,61.78,106.69,19.78,12.1
Jharkhand,Millet,Rabi,Clay,478.56,7204.89,352.67,23.31,86.43,43.03,58.48,68.67
Uttar Pradesh,Pumpkin,Rabi,Sandy,2490.9,27097.57,328.03,36.07,67.09,23.95,75.17,58.27
Meghalaya,Tea,Kharif,Clay,2890.15,34730.79,206.86,14.78,69.32,61.35,70.65,79.53
Madhya Pradesh,Sorghum,Kharif,Clay,1450.54,16150.39,99.1,29.52,79.74,140.34,40.67,73.1
Madhya Pradesh,Groundnut,Kharif,Sandy,2727.0,32214.64,52.59,19.74,53.82,71.5,58.68,37.2
Tripura,Rubber,Kharif,Alluvial,2227.65,28375.53,56.6,27.61,40.95,103.53,63.15,45.03
Arunachal Pradesh,Soybean,Whole Year,Clay,4070.69,38104.56,99.01,14.47,64.23,51.99,43.37,37.61
Tamil Nadu,Soybean,Rabi,Black,3580.3,38021.22,284.56,34.67,58.01,136.57,14.99,76.83
Bihar,Turmeric,Kharif,Sandy,980.85,14477.89,124.85,28.52,64.0,107.11,75.07,47.26
Haryana,Jute,Rabi,Laterite,3591.0,32025.19,229.96,39.3,83.51,87.92,18.63,70.16
Telangana,Beetroot,Rabi,Clay,1290.25,25576.1,483.32,24.51,82.39,91.53,13.04,54.32
Uttarakhand,Sunflower,Summer,Sandy,4097.75,61639.89,447.89,16.84,43.78,99.43,38.77,68.79
Uttar Pradesh,Orange,Kharif,Laterite,1381.28,25573.84,420.18,22.71,73.39,32.42,53.67,41.62
Nagaland,Cotton,Summer,Alluvial,3687.0,47449.24,438.26,16.5,36.22,23.07,54.94,52.5
Maharashtra,Sunflower,Kharif,Alluvial,2488.87,38469.06,494.5,14.09,75.18,72.56,39.97,60.23
Mizoram,Groundnut,Summer,Laterite,4095.35,50869.16,321.45,20.12,88.86,120.44,28.54,55.17
Andhra Pradesh,Soybean,Kharif,Loamy,356.42,4789.08,283.58,12.03,82.02,50.38,47.8,71.61
Nagaland,Maize,Rabi,Laterite,1628.43,19388.69,199.85,30.08,94.62,106.04,49.04,61.15
Kerala,Linseed,Kharif,Clay,3178.45,43885.62,389.68,15.11,56.62,74.95,67.53,10.09
Meghalaya,Mustard,Whole Year,Laterite,2379.68,28388.82,222.14,13.59,93.32,22.6,61.6,63.8
Punjab,Soybean,Rabi,Black,3941.63,61300.34,439.11,28.25,62.94,40.71,14.42,18.24
Tamil Nadu,Carrot,Kharif,Black,1910.74,23892.42,205.84,17.17,63.13,127.29,29.58,75.97
West Bengal,Castor,Whole Year,Black,2510.75,42826.61,228.73,26.19,70.82,107.66,47.27,60.5
Assam,Jute,Summer,Laterite,4095.49,38442.85,195.14,10.69,40.0,49.07,77.01,50.11
Sikkim,Rubber,Whole Year,Loamy,2440.44,35944.45,322.81,32.94,41.36,85.33,37.91,20.25
Rajasthan,Coconut,Whole Year,Clay,138.8,523.64,110.82,38.89,65.72,145.56,40.27,31.83
West Bengal,Soybean,Whole Year,Clay,98.26,1536.3,321.15,20.94,55.12,93.38,23.42,24.82
Karnataka,Carrot,Kharif,Loamy,3478.23,54530.68,492.66,17.18,39.25,35.78,31.23,17.07
Bihar,Sugarcane,Summer,Alluvial,1170.9,12389.39,149.36,15.21,72.62,130.24,60.7,65.45
Assam,Barley,Summer,Laterite,2413.36,31782.43,129.6,21.61,92.65,52.32,19.37,39.3
Tamil Nadu,Cabbage,Kharif,Alluvial,1624.27,30668.51,425.44,28.88,42.93,28.4,12.98,36.0
Mizoram,Groundnut,Summer,Clay,4223.34,47356.75,94.14,24.65,39.75,62.21,61.61,43.32
Goa,Cucumber,Kharif,Black,4461.5,59495.59,479.9,33.61,50.5,109.46,40.63,27.83
Jharkhand,Carrot,Rabi,Laterite,3908.04,77306.36,421.31,24.86,55.11,78.52,25.89,72.26
Chhattisgarh,Cashew,Whole Year,Alluvial,2221.93,16294.2,71.52,11.14,78.5,105.67,66.15,17.38
Mizoram,Cotton,Whole Year,Clay,1944.1,23008.68,257.88,39.75,93.1,142.5,64.87,34.84
Sikkim,Cashew,Whole Year,Black,114.52,502.22,86.98,39.04,49.2,120.0,53.73,36.74
Nagaland,Maize,Kharif,Laterite,3078.91,56760.89,398.59,29.32,64.47,25.45,77.79,65.91
Meghalaya,Cashew,Whole Year,Laterite,791.63,8766.32,69.68,13.32,68.9,32.35,36.32,48.51
Uttar Pradesh,Apple,Rabi,Sandy,1376.22,24804.47,467.74,30.28,62.24,21.65,79.47,57.0
Kerala,Brinjal,Summer,Black,3183.99,25348.15,149.48,39.35,78.63,92.52,22.64,13.77
Sikkim,Ginger,Summer,Alluvial,4687.57,50984.9,69.43,14.94,38.56,114.38,67.24,24.95
Madhya Pradesh,Ginger,Summer,Clay,2955.83,40743.0,278.76,18.93,66.73,109.56,71.13,54.54
Chhattisgarh,Okra,Whole Year,Black,2794.63,37415.86,415.29,32.25,87.29,56.13,23.58,71.59
Rajasthan,Spinach,Summer,Red,948.24,12668.79,209.92,33.51,66.02,20.68,63.27,12.47
Mizoram,Tea,Rabi,Alluvial,4790.79,57158.88,215.57,19.81,39.68,59.73,71.37,79.74
Punjab,Pulses,Whole Year,Sandy,2969.29,33265.21,226.19,22.38,75.22,20.42,53.37,34.88
Tripura,Muskmelon,Whole Year,Alluvial,2945.13,49286.9,266.44,29.27,34.22,95.4,49.3,49.25
Nagaland,Tomato,Summer,Laterite,4127.0,51474.32,274.22,12.31,33.81,63.45,64.94,59.54
Bihar,Tomato,Whole Year,Clay,745.79,9424.71,197.69,23.02,35.76,48.68,51.88,61.5
Bihar,Chili,Whole Year,Loamy,600.5,8539.3,234.46,35.19,54.95,94.34,51.14,22.91
Jharkhand,Carrot,Summer,Clay,3504.26,52736.75,313.61,27.59,75.35,140.85,64.78,13.93
Chhattisgarh,Peas,Whole Year,Clay,2409.72,27066.83,245.83,38.12,75.89,102.05,13.49,73.27
Assam,Wheat,Whole Year,Alluvial,45.08,379.01,75.78,16.76,38.54,71.85,74.58,43.04
Maharashtra,Pulses,Whole Year,Sandy,2150.15,30617.19,430.16,18.04,40.16,130.9,13.26,53.38
Karnataka,Turmeric,Whole Year,Black,2061.37,16393.53,206.3,37.0,31.42,106.29,77.44,49.21
Tripura,Castor,Rabi,Clay,1290.09,16447.64,344.38,15.94,66.75,80.31,78.04,52.6
Tripura,Brinjal,Kharif,Black,3602.84,43794.74,238.1,12.67,74.44,90.86,78.64,25.92
Gujarat,Ginger,Kharif,Alluvial,3068.37,20518.96,151.77,35.41,57.86,38.32,56.49,25.13
Jharkhand,Coconut,Whole Year,Red,3258.36,33353.25,295.44,11.87,63.31,124.83,42.15,13.64
Gujarat,Turmeric,Whole Year,Black,1657.77,30717.14,390.54,25.58,43.32,134.12,71.57,70.94
Uttarakhand,Brinjal,Whole Year,Black,3756.14,56750.03,301.09,26.58,36.12,64.68,29.77,37.35
Tamil Nadu,Apple,Summer,Black,476.11,6611.23,248.48,15.87,42.14,32.22,34.97,63.02
Chhattisgarh,Turmeric,Whole Year,Loamy,3216.95,22389.7,138.13,36.91,63.81,78.19,49.05,21.62
Uttarakhand,Carrot,Summer,Sandy,712.15,8738.75,140.91,15.53,88.11,105.06,20.65,40.82
Goa,Spinach,Rabi,Red,4413.26,72899.3,411.62,25.16,92.86,74.31,78.89,56.75
Goa,Chickpea,Summer,Loamy,657.83,8647.32,359.09,12.79,31.91,126.98,24.68,36.53
Assam,Guava,Kharif,Alluvial,4097.13,56297.35,293.36,31.31,50.43,81.25,67.51,42.15
Assam,Mustard,Whole Year,Sandy,877.07,9020.04,370.41,34.78,36.54,51.18,19.94,34.36
Manipur,Onion,Rabi,Red,3259.23,51262.48,329.42,20.57,84.69,81.27,78.54,54.39
Arunachal Pradesh,Sesame,Whole Year,Laterite,3411.53,36945.69,125.21,29.66,94.46,29.45,15.4,33.83
Uttar Pradesh,Apple,Summer,Sandy,1808.29,18946.96,80.83,32.89,56.54,118.7,73.25,26.29
Goa,Orange,Summer,Red,563.84,9253.57,251.17,23.81,86.2,91.06,36.63,78.38
Maharashtra,Chili,Kharif,Alluvial,2113.01,18179.52,62.23,38.99,38.28,112.0,78.09,67.82
Madhya Pradesh,Barley,Rabi,Loamy,2800.33,48561.45,332.71,25.98,71.28,78.48,25.29,18.42
Bihar,Cauliflower,Kharif,Sandy,240.16,3122.25,305.23,18.51,83.59,29.65,25.84,61.12
West Bengal,Millet,Rabi,Alluvial,1658.74,15596.31,203.18,39.67,70.7,89.07,68.67,29.97
Kerala,Sesame,Summer,Sandy,4279.92,48924.59,284.65,11.91,84.04,97.87,18.05,16.57
Mizoram,Coconut,Whole Year,Alluvial,135.46,1813.37,362.5,12.47,89.19,80.38,19.63,33.86
Punjab,Peas,Rabi,Clay,3160.22,55521.24,316.26,31.08,45.43,86.61,17.3,36.92
Arunachal Pradesh,Mango,Rabi,Red,3720.53,53182.12,277.82,29.02,34.61,53.07,35.33,43.07
Uttar Pradesh,Orange,Whole Year,Red,1391.3,24219.35,487.19,19.94,61.33,45.49,52.75,29.65
Goa,Beetroot,Rabi,Alluvial,1103.15,6737.9,66.52,13.24,52.03,124.34,50.04,45.89
Karnataka,Brinjal,Kharif,Clay,1429.97,25449.96,418.19,25.95,87.19,94.72,12.08,57.28
Maharashtra,Muskmelon,Kharif,Laterite,3652.0,57586.67,447.02,30.13,46.78,107.7,30.77,60.29
West Bengal,Cotton,Whole Year,Alluvial,3185.64,28473.31,73.01,17.73,33.87,98.49,58.06,18.01
Nagaland,Castor,Summer,Loamy,2100.55,19658.66,388.03,12.13,35.21,66.12,75.92,56.8
Himachal Pradesh,Pulses,Rabi,Red,2972.37,33506.78,54.56,29.08,89.36,99.63,71.16,60.68
Haryana,Rice,Kharif,Alluvial,2115.95,28472.99,182.77,24.58,67.52,25.69,18.61,49.1
Tripura,Banana,Whole Year,Alluvial,346.25,3126.03,224.33,35.56,56.25,30.09,47.98,70.32
Assam,Maize,Whole Year,Laterite,4584.01,65015.12,243.94,19.57,67.84,68.25,52.08,59.39
Andhra Pradesh,Mango,Summer,Black,842.63,11234.54,243.74,14.28,87.86,64.96,20.81,11.78
Karnataka,Okra,Summer,Red,2054.05,30438.52,190.05,30.31,69.38,67.4,25.25,79.16
Andhra Pradesh,Chickpea,Whole Year,Alluvial,711.36,7274.09,268.52,10.83,62.85,145.32,36.89,12.73
Jharkhand,Carrot,Rabi,Red,743.84,8218.34,269.53,13.9,84.31,68.15,36.24,43.18
Goa,Sugarcane,Rabi,Laterite,2731.45,32874.06,89.69,28.21,39.85,24.02,77.95,64.15
Madhya Pradesh,Coconut,Kharif,Sandy,1242.07,21463.31,427.35,20.69,83.74,112.17,22.4,45.52
Kerala,Turmeric,Whole Year,Red,2792.97,40683.2,206.27,27.41,39.05,77.73,53.84,44.22
Tripura,Mango,Rabi,Red,1014.55,11403.4,227.81,11.18,60.91,90.59,25.94,77.48
Rajasthan,Coconut,Summer,Sandy,2671.6,37410.92,441.49,13.92,81.38,36.23,65.59,29.3
Meghalaya,Watermelon,Whole Year,Laterite,4319.1,58174.03,314.93,21.26,48.58,46.42,63.33,37.06
Karnataka,Carrot,Kharif,Red,4473.32,60901.94,255.19,23.3,69.14,96.88,66.46,43.35
Goa,Maize,Summer,Clay,2557.06,27287.06,331.97,37.79,31.24,81.99,58.14,60.59
Sikkim,Pulses,Rabi,Sandy,3225.91,51933.65,418.91,20.0,77.65,88.72,65.54,79.34
Chhattisgarh,Wheat,Summer,Clay,38.27,561.74,471.69,34.66,82.6,134.98,59.0,17.31
Tamil Nadu,Sorghum,Rabi,Sandy,1408.87,14948.24,359.33,10.73,49.9,91.39,54.25,50.39
Arunachal Pradesh,Cucumber,Whole Year,Sandy,260.63,3278.91,82.81,22.09,49.19,50.21,29.67,66.24
Maharashtra,Orange,Rabi,Clay,2920.45,49048.25,429.0,26.47,44.25,24.38,25.02,39.13
Tamil Nadu,Banana,Whole Year,Sandy,2275.19,42123.32,419.64,26.64,71.41,88.42,42.42,26.43
Rajasthan,Mango,Summer,Sandy,2820.81,26494.51,103.98,37.5,76.84,72.19,21.1,71.74
Himachal Pradesh,Mustard,Kharif,Loamy,522.71,6193.21,135.07,33.49,76.48,97.15,72.7,50.83
Haryana,Brinjal,Rabi,Clay,4702.84,44326.37,87.22,37.93,83.74,36.89,49.55,70.66
Odisha,Sunflower,Summer,Alluvial,1892.8,32547.72,471.34,30.25,37.54,25.5,49.52,75.11
Tripura,Pulses,Summer,Loamy,1278.61,18636.3,443.98,15.48,48.1,36.85,57.33,76.08
Odisha,Mustard,Kharif,Black,532.99,6462.63,274.36,21.55,86.28,81.88,17.77,54.41
Assam,Watermelon,Kharif,Laterite,4296.19,62883.75,133.71,26.56,57.03,113.55,35.98,70.88
Bihar,Muskmelon,Summer,Clay,189.33,2310.84,227.63,37.92,38.17,115.82,78.22,13.65
